""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","9"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"
12.63720,0.25274,1.04490,5.876
12.66126,0.25323,1.04698,5.883
12.68468,0.25369,1.04911,5.879
12.70867,0.25417,1.05124,5.882
12.73209,0.25464,1.05328,5.881
12.75574,0.25511,1.05525,5.871
12.77963,0.25559,1.05729,5.866
12.80290,0.25606,1.05939,5.865
12.82617,0.25652,1.06143,5.868
12.84966,0.25699,1.06351,5.874
12.87310,0.25746,1.06556,5.866
12.89610,0.25792,1.06759,5.876
12.91965,0.25839,1.06965,5.869
12.94252,0.25885,1.07165,5.862
12.96595,0.25932,1.07366,5.866
12.98941,0.25979,1.07584,5.863
13.01331,0.26027,1.07798,5.856
13.03644,0.26073,1.08005,5.857
13.05972,0.26119,1.08226,5.857
13.08265,0.26165,1.08438,5.863
13.10577,0.26212,1.08650,5.854
13.12936,0.26259,1.08869,5.858
13.15180,0.26304,1.09075,5.849
13.17496,0.26350,1.09287,5.857
13.19807,0.26396,1.09502,5.848
13.22095,0.26442,1.09715,5.860
13.24371,0.26487,1.09925,5.849
13.26659,0.26533,1.10141,5.859
13.28903,0.26578,1.10353,5.853
13.31182,0.26624,1.10553,5.850
13.33462,0.26669,1.10757,5.849
13.35713,0.26714,1.10966,5.841
13.37970,0.26759,1.11173,5.837
13.40188,0.26804,1.11392,5.847
13.42443,0.26849,1.11608,5.839
13.44668,0.26893,1.11808,5.850
13.46960,0.26939,1.12015,5.845
13.49191,0.26984,1.12225,5.844
13.51447,0.27029,1.12440,5.835
13.53750,0.27075,1.12647,5.833
13.56017,0.27120,1.12862,5.840
13.58272,0.27165,1.13079,5.832
13.60488,0.27210,1.13292,5.834
13.62799,0.27256,1.13508,5.837
13.65055,0.27301,1.13727,5.835
13.67276,0.27346,1.13941,5.829
13.69526,0.27391,1.14159,5.833
13.71803,0.27436,1.14372,5.832
13.74026,0.27481,1.14591,5.822
13.76312,0.27526,1.14810,5.821
13.78616,0.27572,1.15039,5.828
13.80868,0.27617,1.15273,5.818
13.83134,0.27663,1.15504,5.827
13.85382,0.27708,1.15728,5.826
13.87679,0.27754,1.15961,5.816
13.89953,0.27799,1.16195,5.808
13.92191,0.27844,1.16431,5.809
13.94480,0.27890,1.16670,5.810
13.96761,0.27935,1.16905,5.799
13.99046,0.27981,1.17138,5.808
14.01310,0.28026,1.17381,5.813
14.03609,0.28072,1.17621,5.809
14.05913,0.28118,1.17860,5.807
14.08227,0.28165,1.18092,5.798
14.10521,0.28210,1.18335,5.804
14.12797,0.28256,1.18585,5.786
14.15098,0.28302,1.18819,5.789
14.17386,0.28348,1.19069,5.795
14.19664,0.28393,1.19314,5.794
14.21978,0.28440,1.19556,5.786
14.24266,0.28485,1.19800,5.780
14.26573,0.28531,1.20055,5.772
14.28894,0.28578,1.20309,5.766
14.31214,0.28624,1.20566,5.771
14.33522,0.28670,1.20813,5.764
14.35828,0.28717,1.21059,5.766
14.38117,0.28762,1.21307,5.760
14.40458,0.28809,1.21550,5.764
14.42775,0.28855,1.21797,5.752
14.45078,0.28902,1.22039,5.739
14.47416,0.28948,1.22280,5.738
14.49763,0.28995,1.22523,5.728
14.52100,0.29042,1.22759,5.724
14.54432,0.29089,1.22985,5.720
14.56813,0.29136,1.23199,5.715
14.59193,0.29184,1.23425,5.695
14.61546,0.29231,1.23654,5.687
14.63877,0.29278,1.23896,5.687
14.66289,0.29326,1.24134,5.671
14.68679,0.29374,1.24359,5.670
14.71007,0.29420,1.24557,5.656
14.73422,0.29468,1.24762,5.647
14.75820,0.29516,1.24975,5.626
14.78249,0.29565,1.25196,5.613
14.80663,0.29613,1.25423,5.605
14.83114,0.29662,1.25651,5.594
14.85573,0.29711,1.25880,5.575
14.88006,0.29760,1.26128,5.555
14.90464,0.29809,1.26379,5.541
14.92960,0.29859,1.26642,5.521
14.95447,0.29909,1.26917,5.491
14.97937,0.29959,1.27223,5.460
15.00062,0.30010,1.27536,5.441
15.00390,0.30061,1.27864,5.412
15.00741,0.30113,1.28215,5.382
15.01139,0.30166,1.28613,5.343
15.01542,0.30218,1.29015,5.295
15.01944,0.30272,1.29418,5.254
15.02335,0.30326,1.29808,5.208
15.02795,0.30381,1.30268,5.153
15.03339,0.30436,1.30813,5.088
15.03855,0.30492,1.31329,5.013
15.04386,0.30549,1.31860,4.922


