""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","4"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"
11.97398,0.23948,1.59264,5.699
11.98550,0.23971,1.59362,5.693
11.99648,0.23993,1.59485,5.696
12.00731,0.24015,1.59599,5.698
12.01878,0.24038,1.59696,5.692
12.02988,0.24060,1.59807,5.687
12.04077,0.24082,1.59923,5.697
12.05165,0.24103,1.60026,5.696
12.06235,0.24125,1.60130,5.692
12.07325,0.24146,1.60233,5.693
12.08394,0.24168,1.60336,5.696
12.09498,0.24190,1.60437,5.686
12.10583,0.24212,1.60541,5.690
12.11617,0.24232,1.60640,5.691
12.12695,0.24254,1.60739,5.691
12.13773,0.24275,1.60832,5.681
12.14828,0.24297,1.60931,5.680
12.15876,0.24318,1.61036,5.689
12.16941,0.24339,1.61121,5.685
12.18016,0.24360,1.61215,5.674
12.19055,0.24381,1.61315,5.682
12.20080,0.24402,1.61408,5.687
12.21129,0.24423,1.61494,5.683
12.22198,0.24444,1.61580,5.675
12.23199,0.24464,1.61673,5.678
12.24237,0.24485,1.61760,5.684
12.25259,0.24505,1.61843,5.669
12.26247,0.24525,1.61934,5.675
12.27302,0.24546,1.62018,5.677
12.28322,0.24566,1.62097,5.668
12.29379,0.24588,1.62181,5.665
12.30371,0.24607,1.62271,5.671
12.31355,0.24627,1.62346,5.667
12.32354,0.24647,1.62425,5.667
12.33389,0.24668,1.62507,5.661
12.34370,0.24687,1.62587,5.666
12.35421,0.24708,1.62661,5.668
12.36412,0.24728,1.62732,5.658
12.37386,0.24748,1.62818,5.664
12.38348,0.24767,1.62888,5.673
12.39368,0.24787,1.62963,5.664
12.40378,0.24808,1.63036,5.662
12.41336,0.24827,1.63114,5.661
12.42323,0.24846,1.63184,5.663
12.43363,0.24867,1.63255,5.653
12.44367,0.24887,1.63324,5.655
12.45301,0.24906,1.63403,5.659
12.46322,0.24926,1.63465,5.656
12.47336,0.24947,1.63536,5.657
12.48277,0.24966,1.63608,5.652
12.49255,0.24985,1.63673,5.652
12.50272,0.25005,1.63745,5.646
12.51197,0.25024,1.63811,5.649
12.52160,0.25043,1.63878,5.648
12.53163,0.25063,1.63945,5.653
12.54162,0.25083,1.64010,5.644
12.55114,0.25102,1.64081,5.648
12.56087,0.25122,1.64147,5.651
12.57077,0.25142,1.64205,5.644
12.58076,0.25162,1.64273,5.639
12.58999,0.25180,1.64335,5.653
12.59970,0.25199,1.64397,5.639
12.61030,0.25221,1.64456,5.637
12.61975,0.25239,1.64526,5.644
12.62930,0.25259,1.64587,5.643
12.63930,0.25279,1.64638,5.640
12.64901,0.25298,1.64702,5.630
12.65850,0.25317,1.64770,5.639
